Items,mse_3_5_7_128_9_8
project,MasterProject
log_dir,../logs//tuner//mse_3_5_7_128_9_8//mse//MasterProject
dataset_no,mse_3_5_7_128_9_8
dataset_name,../Version9.128timesteps/seqnetdata.ni=3.no=5.mc=7.numTimeSteps128.version9.8.csv
objectives,"val_customMetricfn, max"
af_LSTM,tanh
raf_LSTM,sigmoid
af_dense,tanh
optimizer,adam
learning_rate,0.01
tuner/epochs,8
tuned_score,0.90155
loss,0.16529
val_loss,0.16529
val_customMetricfn,0.90207
pred_accuracy,0.90206
training_time (ms),64.264
rerun_acc_0,0.89914
rerun_acc_1,0.89854
rerun_acc_2,0.90226
default_acc_0,0.90052
default_acc_1,0.90032
default_acc_2,0.90272
delta,-0.001207
isbetter,same
