Items,mse_3_5_30_128_9_10
project,MasterProject
log_dir,../logs//tuner//mse_3_5_30_128_9_10//mse//MasterProject
dataset_no,mse_3_5_30_128_9_10
objectives,"val_loss, min"
af_LSTM,relu
raf_LSTM,sigmoid
af_dense,softsign
optimizer,adam
learning_rate,0.01
lm_LSTM,mse
tuner/epochs,8
tuner/trial_id,33d772d8eb0ddee75f63f841a6428cb7
tuned_score,0.58318
loss,0.59829
validation_accuracy_0,0.59829
validation_accuracy_1,0.59829
prediction_accuracy,0.67069
training_time (ms),69.10518
val_acc_0,0.5996
pred_acc_0,0.66133
val_acc_1,0.59284
pred_acc_1,0.66609
val_acc_2,0.593
pred_acc_2,0.66769
