Items,mse_3_5_30_128_9_16
project,MasterProject
log_dir,../logs//tuner//mse_3_5_30_128_9_16//mse//MasterProject
dataset_no,mse_3_5_30_128_9_16
dataset_name,../Version9.128timesteps/seqnetdata.ni=3.no=5.mc=30.numTimeSteps128.version9.16.csv
objectives,"val_customMetricfn, max"
af_LSTM,sigmoid
raf_LSTM,sigmoid
af_dense,tanh
optimizer,sgd
learning_rate,0.001
tuner/epochs,3
tuned_score,0.50186
loss,0.81566
val_loss,0.81566
val_customMetricfn,0.50282
pred_accuracy,0.50282
training_time (ms),68.54042
rerun_acc_0,0.49818
rerun_acc_1,0.4997
rerun_acc_2,0.49898
